title,rooms,square_m,floor,serie,price,link,area,region,street,building_total_floors,price_per_square_m,time
"Saimnieks izīrē tikko atbrīvotu 2-istabu dzīvokli, metāla durvis",2.0,47,5.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/gfpkd.html,riga,Purvciems,Stirnu 21,5,5.319148936170213,2023-01-05 07:32:31
В аренду сдаётся просторная 5ти комнатная квартира с двумя парко,5.0,211,3.0,Renov.,1600.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/aejxg.html,riga,centrs,Skolas 12A,5,7.5829383886255926,2023-01-05 07:32:31
Сдаётся 1-комнатная квартира на длительный срок. Квартира оборуд,1.0,44,5.0,119.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/djxlp.html,riga,Purvciems,Ilūkstes 32,9,5.2272727272727275,2023-01-05 07:32:31
"Izīrēju 2 istabu dzīvokli(atsevišķas istabas), atrodas Ķengaragā",2.0,45,2.0,LT proj.,255.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/edjdf.html,riga,Ķengarags,Maskavas 285/5,5,5.666666666666667,2023-01-05 07:32:31
Izīrēju mēbelētu vienistabas dzīvokli Iļģuciemā. Dzīvoklis atrod,1.0,30,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/boigg.html,riga,Iļģuciems,Lilijas 15A,5,6.666666666666667,2023-01-05 07:32:31
Īrei piedāvājam mājīgu dzīvokli ar interesantu plānojumu centrā,3.0,73,2.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agbhb.html,riga,centrs,Stabu 72,5,4.794520547945205,2023-01-05 07:32:31
Īrei piedāvājam dzīvokli ar skatu uz klusu iekšpagalmu blakus Zi,2.0,49,5.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hfdxx.html,riga,centrs,Matīsa 43,5,4.489795918367347,2023-01-05 07:32:31
"Izīrē 3-istabu dzīvokli jaunajā projektā Quadrus, kas atrodas Rī",3.0,82,3.0,Jaun.,1200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dhlex.html,riga,centrs,Ausekļa 20,5,14.634146341463415,2023-01-05 07:32:31
Cдаю малогабаритную однокомнатную (17 m2) квартиру-студио со все,1.0,17,3.0,M. ģim.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/cmfcn.html,riga,Šampēteris-Pleskodāle,Stendes 7k3,3,11.764705882352942,2023-01-05 07:32:31
Īpašnieks izīrē nelielu/ekonomisku (skat. pēdējo rēķinu bildēs),1.0,25,1.0,Specpr.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/bekfnm.html,riga,Iļģuciems,Motoru 3,5,14.0,2023-01-05 07:32:31
"Сдаю На длительный срок. Квартира после косметического ремонта ,",2.0,51,2.0,467.,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/anjcp.html,riga,Krasta r-ns,Zilupes 29,9,6.470588235294118,2023-01-05 07:32:31
"Īrei pieejams plašs 2 istabu dzīvoklis Rīgā, Maskavas ielā 135.",2.0,58,1.0,Specpr.,360.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/aeemb.html,riga,Maskavas priekšpilsēta,Maskavas 135,1,6.206896551724138,2023-01-05 07:32:31
Dzīvokļa īpašnieks izīrē 1 istabas dzīvokli ilgtermiņā. Minimāla,1.0,36,6.0,602.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/eonxp.html,riga,Purvciems,Dzelzavas 25,9,8.333333333333334,2023-01-05 07:32:31
"Ekskluzīvs dzīvoklis ar terasi renovētā mājā. Plašs, mēbelēts",2.0,93,6.0,Renov.,1200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/addcm.html,riga,centrs,Blaumaņa 3,6,12.903225806451612,2023-01-05 07:32:31
Īrei tiek piedāvāts plašs un saulains trīsistabu dzīvoklis jauna,3.0,75,7.0,Jaun.,520.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cmxng.html,riga,centrs,Ganību d. 13k-1,8,6.933333333333334,2023-01-05 07:32:31
"Сдается однокомнатная квартира в нормальном состоянии, после кос",1.0,32,2.0,103.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/hgmhc.html,riga,Dārzciems,Ūbeles 4,5,6.25,2023-01-05 07:32:31
Kārtīgai studentei/strādājošai siev ietei izīrē daļēji mēbelētu,1.0,34,4.0,P. kara,120.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/djkxl.html,riga,centrs,Barona 23,5,3.5294117647058822,2023-01-05 07:32:31
"Сдаю квартиру в Старой Риге. Идеальная инфраструктура, настолько",3.0,80,4.0,P. kara,800.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/ajeei.html,riga,Vecrīga,Skārņu 9,6,10.0,2023-01-05 07:32:31
"Izīrē ērtu dzīvokli labā vietā, tikko veikts kosmētiskais remont",2.0,52,2.0,P. kara,270.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/teika/afpff.html,riga,Teika,Apes 1,3,5.1923076923076925,2023-01-05 07:32:31
Сдаётся 1-комнатная квартира. Полностью оборудована и готова к,1.0,18,1.0,Hrušč.,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/emxnd.html,riga,Āgenskalns,Kristapa 8,5,12.222222222222221,2023-01-05 07:32:31
"Tiek izīrēts plašs un saulains, pilnībā mēbelēts 3-istabu dzīvok",3.0,74,3.0,Jaun.,950.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/bbipi.html,riga,Purvciems,Dudajeva g. 9a,6,12.837837837837839,2023-01-05 07:32:31
"Хозяин сдаёт чистую, уютную, аккуратную, тёплую однокомнатную кв",1.0,33,1.0,602.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/dmbbe.html,riga,Imanta,Kurzemes pr. 80,9,7.575757575757576,2023-01-05 07:32:31
